x;y;a;z;index
3.061;-3.986;5.574;7.505;
4.191;1.166;9.596;10.536;
7.294;6.778;5.765;11.505;
8.481;0.725;10.860;13.798;
4.076;9.460;6.052;11.947;
5.646;2.449;6.761;9.142;
4.555;5.016;6.531;9.410;
9.554;-8.889;4.367;13.761;
18.307;-6.936;8.600;21.382;
3.348;11.988;8.638;15.150;
7.313;6.874;11.894;15.563;
-1.191;-13.678;-1.953;13.868;
-1.899;-0.557;-0.363;2.012;
0.322;3.713;6.321;7.338;
2.735;4.709;9.596;11.033;
3.788;3.120;9.539;10.727;
5.072;0.361;9.539;10.810;
3.271;-7.376;11.358;13.933;
-1.593;-0.653;6.378;6.607;
-4.428;-20.631;11.645;24.101;
-2.455;4.384;8.025;9.468;
-1.306;4.058;8.964;9.926;
-0.712;5.131;8.504;9.957;
2.045;6.433;8.638;10.963;
-0.578;7.812;7.527;10.863;
3.386;-14.540;2.681;15.168;
0.264;-3.584;10.420;11.023;
0.551;-5.863;4.731;7.554;
-1.880;10.015;15.151;18.259;
1.624;-7.587;9.864;12.550;
3.271;-5.805;7.489;10.024;
12.063;7.353;-5.056;15.004;
3.367;-6.074;7.240;10.033;
2.735;-14.061;4.118;14.905;
-1.114;-5.882;-2.221;6.386;
-5.769;-0.232;7.163;9.201;
-2.263;-3.449;4.654;6.220;
-3.221;-19.271;-0.249;19.540;
-0.233;-6.208;1.858;6.485;
2.371;-11.590;-1.647;11.944;
1.873;-9.828;-4.424;10.940;
-0.041;-12.011;-0.766;12.036;
-0.578;-11.724;5.210;12.843;
-5.807;-8.123;6.340;11.829;
-0.501;1.664;6.512;6.740;
-1.191;4.288;6.761;8.094;
4.670;11.107;7.412;14.146;
-1.535;1.721;14.940;15.117;
-2.704;-0.003;6.321;6.875;
-2.666;-1.994;8.140;8.795;
-0.386;5.954;5.459;8.087;
-0.865;8.521;4.673;9.756;
-2.761;7.640;4.961;9.518;
-0.942;7.755;5.823;9.743;
-0.003;9.038;4.309;10.012;
2.084;9.785;7.681;12.613;
-3.068;-12.299;1.781;12.801;
2.314;2.200;2.317;3.945;
0.973;8.981;3.562;9.710;
1.030;8.540;4.558;9.735;
0.915;7.142;5.076;8.809;
-0.654;9.440;4.827;10.622;
-0.635;8.157;4.501;9.338;
-0.654;7.985;4.080;8.991;
-0.693;5.590;7.508;9.386;
-2.991;7.870;5.248;9.921;
-2.589;9.096;2.643;9.819;
2.505;-2.530;6.206;7.155;
3.386;-9.483;9.251;13.674;
7.140;7.678;6.857;12.528;
3.137;3.943;-0.517;5.064;
2.754;-4.196;3.735;6.257;
2.122;13.290;9.289;16.352;
4.459;-10.632;1.360;11.609;
5.053;-1.515;11.473;12.628;
-1.248;-8.659;9.596;12.986;
-2.972;-2.185;5.018;6.228;
1.222;-0.346;5.937;6.071;
1.394;3.962;6.780;7.975;
-5.041;-11.724;7.872;14.995;
-6.573;-2.587;6.129;9.353;
-4.849;-14.463;-3.083;15.563;
-6.535;-10.575;-2.509;12.682;
-3.623;-12.720;3.333;13.640;
0.532;0.917;8.734;8.798;
-2.072;-5.269;10.918;12.299;
-1.555;-1.649;9.596;9.860;
-1.325;-16.130;5.803;17.194;
-4.907;-8.506;8.121;12.743;
-0.731;-3.507;7.738;8.527;
5.397;0.591;21.855;22.519;
-3.853;3.541;10.075;11.353;
-2.953;2.602;7.355;8.342;
-4.198;3.464;9.040;10.552;
-2.800;3.771;8.428;9.649;
-2.282;5.035;9.175;10.712;
-1.804;6.893;10.860;12.989;
-2.531;5.724;7.949;10.117;
-1.650;6.701;7.566;10.241;
-2.244;2.947;8.868;9.611;
-0.176;6.893;8.638;11.052;
-3.930;5.782;9.098;11.474;
-1.535;4.614;7.987;9.351;
-3.106;4.001;8.811;10.163;
-3.623;-0.137;8.504;9.245;
-4.370;-1.323;7.144;8.479;
-4.121;-3.890;7.757;9.607;
-1.842;-2.894;5.842;6.775;
2.333;-7.510;8.619;11.668;
4.765;-5.307;10.937;13.057;
1.892;-2.243;10.803;11.195;
3.923;3.292;13.752;14.675;
3.846;-5.710;6.321;9.346;
2.294;-5.710;7.661;9.827;
3.405;-2.358;11.320;12.054;
