x;y;z;a;index
8.699;-3.194;-3.540;9.920;0.211
8.655;-3.268;-3.478;9.884;0.233
8.677;-3.228;-3.482;9.891;0.237
8.706;-3.220;-3.470;9.910;0.236
8.720;-3.244;-3.468;9.929;0.234
8.725;-3.228;-3.509;9.942;0.237
8.742;-3.225;-3.504;9.955;0.235
8.737;-3.242;-3.511;9.958;0.231
8.725;-3.232;-3.516;9.947;0.228
8.734;-3.251;-3.468;9.944;0.229
8.718;-3.237;-3.478;9.928;0.228
8.749;-3.225;-3.492;9.957;0.228
8.746;-3.259;-3.499;9.968;0.228
8.715;-3.216;-3.461;9.913;0.234
8.675;-3.204;-3.439;9.866;0.239
8.694;-3.194;-3.420;9.873;0.232
8.727;-3.199;-3.442;9.912;0.228
8.739;-3.204;-3.449;9.926;0.206
8.734;-3.206;-3.485;9.935;0.192
8.742;-3.223;-3.504;9.954;0.187
8.655;-3.194;-3.514;9.872;0.180
8.665;-3.249;-3.633;9.942;0.218
8.629;-3.228;-3.734;9.941;0.242
8.555;-3.275;-3.808;9.920;0.266
8.603;-3.275;-3.964;10.022;0.309
8.596;-3.285;-3.954;10.015;0.309
8.646;-3.426;-3.748;10.027;0.400
8.605;-3.414;-3.523;9.905;0.461
8.663;-3.412;-3.344;9.892;0.495
8.849;-3.472;-3.253;10.047;0.540
8.754;-3.271;-3.190;9.874;0.586
8.871;-3.151;-3.083;9.906;0.618
8.904;-3.172;-3.164;9.968;0.621
8.919;-3.137;-3.111;9.953;0.623
8.969;-3.158;-2.917;9.946;0.654
9.041;-3.105;-2.834;9.971;0.664
9.010;-3.182;-2.642;9.914;0.696
9.019;-3.201;-2.592;9.915;0.697
8.995;-3.342;-2.577;9.936;0.711
8.914;-3.460;-2.530;9.891;0.721
8.924;-3.546;-2.412;9.901;0.724
8.914;-3.620;-2.290;9.890;0.730
8.919;-3.642;-2.139;9.868;0.737
8.998;-3.733;-2.072;9.959;0.731
8.888;-3.922;-1.979;9.914;0.769
8.988;-3.931;-1.811;9.976;0.752
8.948;-3.934;-1.687;9.919;0.728
8.902;-3.987;-1.512;9.870;0.728
8.964;-4.030;-1.493;9.941;0.699
8.983;-4.037;-1.443;9.954;0.662
8.909;-4.111;-1.414;9.913;0.641
8.950;-4.113;-1.366;9.944;0.637
8.888;-4.154;-1.313;9.898;0.640
8.919;-4.197;-1.227;9.933;0.616
8.852;-4.298;-1.203;9.913;0.616
8.804;-4.252;-1.119;9.841;0.590
8.768;-4.307;-1.105;9.831;0.591
8.840;-4.307;-1.047;9.889;0.581
8.902;-4.343;-1.000;9.955;0.567
8.871;-4.310;-0.990;9.912;0.550
8.866;-4.319;-0.947;9.908;0.533
