[20210414 14:23:48]	-9.511528;1.060094;-0.404739;9.578976;stasis
[20210414 14:23:48]	-9.473221;1.098401;3.378100;10.117310;stasis
[20210414 14:23:48]	-9.521105;3.684139;1.424432;10.307925;stasis
[20210414 14:23:48]	-8.151621;2.946725;-0.270663;8.672103;stasis
[20210414 14:23:49]	-10.641591;2.506192;2.516187;11.218541;stasis
[20210414 14:23:49]	A stasis: {avg:10,065,mediana:10,214,sqm:4,154};
[20210414 14:23:49]	min: 9,123300; max: 10,104300; mediana: 10,214210; sqm: 4,154130; min_sqm: 1,000000; filtered: 0; spikes: 7; false; 
[20210414 14:34:36]	4.087537;9.027997;0.600826;9.928428;last second
[20210414 14:34:36]	-2.453422;9.066304;-2.233909;9.654403;last second
[20210414 14:34:36]	1.712489;13.002372;7.917506;15.319308;last second
[20210414 14:34:36]	3.072396;-0.290236;1.568084;3.461609;last second
[20210414 14:34:36]	-1.610663;5.886804;1.606391;6.311037;last second
[20210414 14:34:37]	-2.204425;14.601699;-3.239473;15.118310;last second
[20210414 14:34:37]	-1.256321;8.874768;-0.318547;8.968909;last second
[20210414 14:34:37]	-6.935367;7.687244;-10.268849;14.582260;last second
[20210414 14:34:37]	-5.336040;9.114188;-2.233909;10.795004;last second
[20210414 14:34:37]	0.419620;3.214875;2.477880;4.080612;last second
[20210414 14:34:37]	-1.380819;1.280360;-1.017654;2.140468;free fall
[20210414 14:34:37]	-11.714193;11.182778;-6.169976;17.330478;possible fall detected
[20210414 14:34:37]	-3.095068;9.267417;-3.258627;10.299666;possible fall detected
[20210414 14:34:37]	-11.225776;7.773435;-5.068644;14.564871;possible fall detected
[20210414 14:34:37]	-5.690382;5.934688;-2.559520;8.611162;possible fall detected
[20210414 14:34:37]	-7.711089;6.518874;-4.216308;10.942296;possible fall detected
[20210414 14:34:38]	-2.079926;12.437340;-1.755068;12.731606;possible fall detected
[20210414 14:34:38]	-4.991275;7.256288;-5.614522;10.444587;possible fall detected
[20210414 14:34:38]	5.284638;0.159874;4.240013;6.777217;possible fall detected
[20210414 14:34:38]	2.967051;10.014408;1.108397;10.503347;possible fall detected
[20210414 14:34:40]	2.200907;9.238687;1.089243;9.559486;possible fall detected
[20210414 14:34:40]	1.271956;7.601053;4.527317;8.938147;possible fall detected
[20210414 14:34:40]	1.271956;7.601053;4.527317;8.938147;possible fall detected
[20210414 14:34:40]	1.271956;7.601053;4.527317;8.938147;possible fall detected
[20210414 14:34:40]	1.271956;7.601053;4.527317;8.938147;possible fall detected
[20210414 14:34:40]	1.271956;7.601053;4.527317;8.938147;possible fall detected
[20210414 14:34:40]	1.271956;7.601053;4.527317;8.938147;possible fall detected
[20210414 14:34:40]	-1.974581;14.094128;-2.348830;14.424299;possible fall detected
[20210414 14:34:40]	0.304699;13.059833;-7.644804;15.135888;possible fall detected
[20210414 14:34:40]	0.620733;2.410423;3.196141;4.051020;possible fall detected
[20210414 14:34:40]	-0.681712;9.516414;3.665404;10.220668;possible fall detected
[20210414 14:34:41]	-1.639393;8.807731;3.904824;9.772992;possible fall detected
[20210414 14:34:41]	-0.662559;8.300159;4.584778;9.505357;possible fall detected
[20210414 14:34:41]	-1.543625;10.895474;2.410843;11.265270;possible fall detected
