x;y;z;a;index
0.000;-0.005;9.811;9.811;0.158
0.000;-0.012;9.813;9.813;0.147
0.003;-0.005;9.796;9.796;0.142
-0.002;-0.002;9.811;9.811;0.138
0.014;-0.010;9.803;9.803;0.129
0.014;-0.012;9.806;9.806;0.124
0.012;-0.017;9.830;9.830;0.124
-0.002;-0.017;9.782;9.782;0.124
0.014;-0.014;9.825;9.825;0.122
0.026;-0.002;9.811;9.811;0.118
0.005;-0.019;9.820;9.820;0.120
0.003;-0.012;9.839;9.839;0.121
0.007;-0.024;9.789;9.789;0.125
0.005;-0.007;9.818;9.818;0.121
-0.002;-0.005;9.806;9.806;0.120
-0.007;-0.010;9.801;9.801;0.117
0.012;-0.000;9.806;9.806;0.119
-0.005;-0.012;9.808;9.808;0.120
0.007;-0.026;9.799;9.799;0.117
-0.012;-0.019;9.782;9.782;0.119
0.003;-0.012;9.808;9.808;0.123
-0.017;-0.002;9.820;9.820;0.124
